loss = 2.7846995549347473, MAPE = 0.3089147474319023
loss = 2.995092527818898, MAPE = 0.3195162578452439
loss = 2.562986984875204, MAPE = 0.30889654009388584
loss = 2.7229150496102807, MAPE = 0.3790416277752456
loss = 2.8958404590616778, MAPE = 0.4356339421468133
loss = 3.016676256251013, MAPE = 0.4470678152057032
loss = 3.1181028237661668, MAPE = 0.46687081251867035
loss = 2.7818518716935654, MAPE = 0.32104770818636813
loss = 3.0017974588248233, MAPE = 0.41564663910868954
loss = 2.86338249797643, MAPE = 0.35208937115237915
loss = 2.674414964878149, MAPE = 0.34007497060663455
loss = 3.0182623363938164, MAPE = 0.35703408294271927
loss = 2.8728280606210004, MAPE = 0.3433854818632943
loss = 2.8344407205585154, MAPE = 0.3423409852148714
loss = 2.9580199495708435, MAPE = 0.7096556159535444
loss = 2.7885796224315795, MAPE = 0.33323931747028884
loss = 2.862548621137917, MAPE = 0.34892538442304527
loss = 2.7530028252044563, MAPE = 0.44514989061788685
loss = 2.814478369022941, MAPE = 0.30665836286836057
loss = 2.862693553213172, MAPE = 0.3366185890555848
loss = 2.652194171323732, MAPE = 0.2721126256290501
loss = 2.6649524931951705, MAPE = 0.3161352609377284
loss = 2.7449594722996813, MAPE = 0.36468882916454876
loss = 2.789646890640441, MAPE = 0.32579153284680895
loss = 3.0885662844891697, MAPE = 0.7971414737192685
loss = 2.2158976935476664, MAPE = 0.26701763312640225
loss = 2.6168369323622893, MAPE = 0.34498826025580553
loss = 2.8297276602191954, MAPE = 0.3744966644460163
loss = 2.6427094761751317, MAPE = 0.322724463164745
loss = 2.567512781470743, MAPE = 0.2694510683140363
loss = 3.1466865915065867, MAPE = 0.40579960032443596
loss = 3.0602675227347778, MAPE = 0.3469088055488184
loss = 2.71269186967766, MAPE = 0.35716723554574803
loss = 2.3612240705681757, MAPE = 0.3327032881723707
loss = 2.706266009917213, MAPE = 0.4691879035560523
loss = 2.8267645880359895, MAPE = 0.5804191444548703
loss = 2.7667805280318487, MAPE = 0.4244131161513549
loss = 2.867400912748605, MAPE = 0.3905393090576574
loss = 2.595572516130965, MAPE = 0.3170525929960748
loss = 2.754755332867628, MAPE = 0.30106905198290024
loss = 2.8247449582350432, MAPE = 0.3279968291428008
loss = 2.6734705114693873, MAPE = 0.45099665621396595
loss = 2.5546041321283615, MAPE = 0.28082425434802827
loss = 2.6512088574261354, MAPE = 0.2968833760528321
loss = 2.8471757326322753, MAPE = 1.026756463537552
loss = 2.8551657091546305, MAPE = 0.3172617517224336
